action,training_count,training_pct,validation_count,validation_pct
HOLD,27311.0,27.2152024872449,13674.0,95.38225446428571
FLAT,7355.0,7.329201211734694,0.0,0.0
SHORT_100,7440.0,7.41390306122449,258.0,1.7996651785714286
SHORT_75,11453.0,11.412826849489797,254.0,1.7717633928571428
SHORT_50,8676.0,8.645567602040817,23.0,0.16043526785714285
SHORT_25,8627.0,8.596739477040817,7.0,0.048828125
LONG_25,9483.0,9.449736926020408,48.0,0.33482142857142855
LONG_50,8009.0,7.980907206632653,72.0,0.5022321428571429
LONG_75,7981.0,7.953005420918367,0.0,0.0
LONG_100,4017.0,4.002909757653061,0.0,0.0
