env_steps,gradient_updates,mean_episode_return,mean_episode_length,actor_loss,alpha,alpha_loss,critic_loss,entropy,q1,q2,val_validation_score,val_n_periods,val_total_return,val_cumulative_log_return,val_annualized_return,val_per_period_volatility,val_annualized_volatility,val_sharpe,val_sortino,val_calmar,val_max_drawdown,val_max_drawdown_pct,val_max_drawdown_trough_index,val_max_drawdown_peak_index,val_average_drawdown,val_downside_deviation,val_turnover,val_mean_reward
512,320,-0.0010770969656988512,16.0,-1.6478239065036178,1.0,0.0,0.06398501454677899,1.3108086038380862,0.9703475581598469,0.9989215956069529,,,,,,,,,,,,,,,,,,
1024,832,-0.0008188381917764598,16.0,-2.7762123867869377,1.0,0.0,0.03326899812054762,1.2759497095830739,2.099232021253556,2.0994783169589937,,,,,,,,,,,,,,,,,,
1024,832,,,,,,,,,,5.859482484512193,16,3.939506521000169e-08,3.939506449907979e-08,0.0001805670066006293,1.1378952412612246e-07,3.081349501166179e-05,5.8594830773258675,6.981493462086028,304.59318715408176,-5.928136748156732e-07,5.928136748156732e-07,15,8,1.777710192058948e-07,9.55021722235858e-08,0.0,2.462191529923496e-09
1536,1344,-0.0008469086307717043,16.0,-4.26379454927519,1.0,0.0,0.035209275631132186,1.2871144146192819,3.5860934392549098,3.5861346730962396,,,,,,,,,,,,,,,,,,
2048,1856,-0.0008570659477425375,16.0,-5.7926324037835,1.0,0.0,0.031400965084685595,1.2832587561570108,5.112208022736013,5.112189936451614,,,,,,,,,,,,,,,,,,
2048,1856,,,,,,,,,,3.3680793550551478,16,1.6876121611275607e-07,1.687612018223402e-07,0.0007737451660321248,8.48052159541704e-07,0.0002296472473046256,3.368081749355498,2.9335122466548524,323.1612800348353,-2.3943003504278693e-06,2.3943003504278693e-06,15,8,8.455079611675445e-07,9.736823169260811e-07,0.0,1.0547575128978305e-08
