env_steps,gradient_updates,mean_episode_return,mean_episode_length,actor_loss,alpha,alpha_loss,critic_loss,entropy,q1,q2,val_validation_score,val_n_periods,val_total_return,val_cumulative_log_return,val_annualized_return,val_per_period_volatility,val_annualized_volatility,val_sharpe,val_sortino,val_calmar,val_max_drawdown,val_max_drawdown_pct,val_max_drawdown_trough_index,val_max_drawdown_peak_index,val_average_drawdown,val_downside_deviation,val_turnover,val_mean_reward
512,8,-0.0008098084869693546,16.0,0.1077414122351911,0.0,0.0,4.165902529607024e-05,1.3090793304145336,-0.04930038098245859,0.0,,,,,,,,,,,,,,,,,,
1024,16,-0.0006463202223364346,16.0,0.08040425969520584,0.0,0.0,1.9773599755268376e-05,1.0811817325651645,-0.015082506171893328,0.0,,,,,,,,,,,,,,,,,,
1024,16,,,,,,,,,,-140.6440845516302,16,-0.00014456504947546467,-0.00014457550000942422,-0.48449124324863857,1.739737051285343e-05,0.004711099669594062,-140.64393405254825,-119.92121960243637,-3219.230555833705,-0.00015049908195319261,0.00015049908195319261,12,0,9.84239678146367e-05,2.040368367841211e-05,0.0,-9.035968750600608e-06
1536,24,-0.0005774136690521008,16.0,0.10127181107527576,0.0,0.0,6.464650512683079e-06,0.8705513257533312,-0.004781836469192058,0.0,,,,,,,,,,,,,,,,,,
2048,32,-0.0005943038294782594,16.0,0.08338236823037734,0.0,0.0,3.788883132926913e-06,0.6750050604343414,-0.00039360919618047774,0.0,,,,,,,,,,,,,,,,,,
2048,32,,,,,,,,,,-94.9902403437737,16,-0.0003307172511251011,-0.00033077195013544325,-0.7804014329348218,5.892930059342912e-05,0.01595768787875168,-94.98989240670952,-81.09163812686067,-2242.9384887188735,-0.00034793706419500303,0.00034793706419500303,12,0,0.00021994158766278245,6.902916320688193e-05,0.0,-2.0673246883458213e-05
